Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Cd36_01330,orf19.3331	NG	0.0209336	0.443457	0.0472055	3.48162e-63	1698	365.907	1332.09	NA	150	122.5	27.5	NA	NA	0.111984	1:1:1:1:1:1	0.379564(0.44523:0.367491:0.325972)	NA	NA	NA	NA
Cd36_01340,orf19.3332	NG	0.0205342	0.433859	0.0473293	1.06672e-107	2976	655.665	2320.34	NA	263	216	47	NA	NA	0.111597	1:1:1:1:1:1	0.376176(0.415827:0.366431:0.34627)	NA	NA	NA	NA
Cd36_01350,orf19.3333	NG	0.044395	0.440043	0.100888	1.96989e-36	1290	280.873	1009.13	NA	137	93.5	43.5	NA	NA	0.13054	1:1:1:1:1:1	0.389275(0.494213:0.415509:0.258102)	NA	NA	NA	NA
Cd36_01360,orf19.3334	NG	NA	0.105711	-0	NA	747	182.558	564.442	NA	18	18	NA	NA	NA	0.0258344	1:1:1:1:1:1	0.423695(0.465863:0.485944:0.319277)	NA	NA	NA	NA
Cd36_01370,orf19.3335	NG	NA	0.22784	-0	NA	600	132.325	467.675	NA	26	26	NA	NA	NA	0.0502481	1:1:1:1:1:1	0.384167(0.49:0.33:0.3325)	NA	NA	NA	NA
Cd36_01380,orf19.3337	NG	0.061171	0.344212	0.177713	1.56328e-12	717	146.718	570.282	NA	74	40.5	33.5	NA	NA	0.119089	1:1:1:1:1:1	0.240082(0.287278:0.273598:0.159371)	NA	NA	NA	NA
Cd36_01390,orf19.3340	NG	0.0018291	0.242173	0.00755287	1.65177e-21	702	154.616	547.384	NA	33	32	1	NA	NA	0.0547651	1:1:1:1:1:1	0.367521(0.433761:0.380342:0.288462)	NA	NA	NA	NA
Cd36_01400,orf19.3341	NG	0.00682436	0.333227	0.0204796	1.24776e-64	1866	393.983	1472.02	NA	116	106	10	NA	NA	0.0757404	1:1:1:1:1:1	0.344997(0.435459:0.321151:0.278383)	NA	NA	NA	NA
Cd36_01410,orf19.3342	NG	0.059574	0.549944	0.108327	2.47977e-54	1809	377.171	1431.83	NA	229	147	82	NA	NA	0.161815	1:1:1:1:1:1	0.348755(0.448864:0.293019:0.304383)	NA	NA	NA	NA
Cd36_01420,orf19.3344	NG	0.0244418	0.470904	0.051904	1.4815e-58	1557	330.278	1226.72	NA	145	115.5	29.5	NA	NA	0.119147	1:1:1:1:1:1	0.359666(0.44027:0.323699:0.315029)	NA	NA	NA	NA
Cd36_01430,orf19.3345	NG	0.235715	0.469062	0.502523	5.58067e-20	4326	955.874	3370.13	NA	1015	333.333	681.667	NA	NA	0.287275	1:1:1:1:1:1	0.374359(0.488782:0.34359:0.290705)	NA	NA	NA	NA
Cd36_01440,orf19.3347	NG	NA	0.439264	-0	NA	519	114.3	404.7	NA	38	38	NA	NA	NA	0.0967401	1:1:1:1:1:1	0.370906(0.450867:0.369942:0.291908)	NA	NA	NA	NA
Cd36_01450,orf19.3348	NG	0.00726041	0.301454	0.0240846	2.3754e-17	528	112.797	415.203	NA	31	28	3	NA	NA	0.0701092	1:1:1:1:1:1	0.357008(0.460227:0.366477:0.244318)	NA	NA	NA	NA
Cd36_01460,orf19.3349	NG	0.00242538	0.338541	0.00716421	1.03345e-145	3702	811.181	2890.82	NA	228	221	7	NA	NA	0.0760749	1:1:1:1:1:1	0.366018(0.459076:0.384522:0.254457)	NA	NA	NA	NA
Cd36_01470,orf19.3350	NG	0.02563	0.207934	0.12326	3.74231e-13	879	184.473	694.527	NA	51	33.5	17.5	NA	NA	0.0638895	1:1:1:1:1:1	0.31058(0.440273:0.33959:0.151877)	NA	NA	NA	NA
Cd36_01480,orf19.3351	NG	0.0550186	0.410285	0.134098	3.03948e-20	870	181.957	688.043	NA	94	57.5	36.5	NA	NA	0.129321	1:1:1:1:1:1	0.266667(0.291667:0.331667:0.176667)	NA	NA	NA	NA
Cd36_01490,orf19.3352	NG	0.0316803	0.354815	0.0892869	1.58636e-25	993	219.319	773.681	NA	86	62	24	NA	NA	0.10305	1:1:1:1:1:1	0.298403(0.42515:0.332335:0.137725)	NA	NA	NA	NA
Cd36_01500,orf19.3353	NG	0.00563418	0.395042	0.0142622	2.24304e-29	681	146.533	534.467	NA	48	45	3	NA	NA	0.0894246	1:1:1:1:1:1	0.332599(0.433921:0.359031:0.204846)	NA	NA	NA	NA
Cd36_01510,orf19.5341	NG	0.00828654	0.249117	0.0332637	5.09194e-21	786	179.272	606.728	NA	43	38	5	NA	NA	0.0632155	1:1:1:1:1:1	0.392494(0.467557:0.387405:0.322519)	NA	NA	NA	NA
Cd36_01520,orf19.3355	NG	0.0195655	0.437521	0.0447191	6.48738e-51	1380	292.622	1087.38	NA	118	97	21	NA	NA	0.108191	1:1:1:1:1:1	0.309524(0.422175:0.323028:0.183369)	NA	NA	NA	NA
Cd36_01530,orf19.3356	NG	0.0944285	0.469082	0.201305	1.89977e-79	4734	949.87	3784.13	NA	667	331.25	335.75	NA	NA	0.169602	1:1:1:1:1:1	0.276918(0.325495:0.262376:0.242884)	NA	NA	NA	NA
Cd36_01540,orf19.3357	NG	0.0495891	0.365592	0.13564	1.58456e-12	510	114.045	395.955	NA	52	33	19	NA	NA	0.120253	1:1:1:1:1:1	0.319767(0.343023:0.406977:0.209302)	NA	NA	NA	NA
Cd36_01550,orf19.3358	NG	0.011028	0.158315	0.0696584	5.05091e-15	969	238.225	730.775	NA	42	34	8	NA	NA	0.047238	1:1:1:1:1:1	0.413313(0.521672:0.472136:0.24613)	NA	NA	NA	NA
Cd36_01560,orf19.3359	NG	0.0545709	0.356707	0.152985	8.15443e-53	2994	615.892	2378.11	NA	300	174.833	125.167	NA	NA	0.116723	1:1:1:1:1:1	0.284462(0.389037:0.296791:0.167558)	NA	NA	NA	NA
Cd36_01570,orf19.3360	NG	0.112289	0.274344	0.409301	1.82899e-10	1932	410.565	1521.43	NA	253	94.3333	158.667	NA	NA	0.146727	1:1:1:1:1:1	0.282367(0.310145:0.373913:0.163043)	NA	NA	NA	NA
Cd36_01580,orf19.4551	NG	0.0156994	0.343258	0.0457364	1.22954e-70	2364	497.393	1866.61	NA	166	137	29	NA	NA	0.0846187	1:1:1:1:1:1	0.302861(0.408582:0.340796:0.159204)	NA	NA	NA	NA
Cd36_01590,orf19.4550	NG	0.0293786	0.361206	0.0813348	6.62524e-51	1899	423.85	1475.15	NA	164	121.5	42.5	NA	NA	0.103441	1:1:1:1:1:1	0.348868(0.413902:0.378357:0.254344)	NA	NA	NA	NA
Cd36_01610,orf19.4548	NG	0.0463809	0.34894	0.132919	7.08881e-23	1113	234.752	878.248	NA	105	65.5	39.5	NA	NA	0.110196	1:1:1:1:1:1	0.313492(0.399471:0.349206:0.191799)	NA	NA	NA	NA
Cd36_01620,orf19.4546	NG	0.0121749	0.339582	0.0358525	5.51781e-62	1872	422.915	1449.09	NA	133	115.5	17.5	NA	NA	0.0861414	1:1:1:1:1:1	0.376198(0.422524:0.425719:0.280351)	NA	NA	NA	NA
Cd36_01630,orf19.4545	NG	0.0304912	0.5326	0.0572497	5.31722e-119	3042	649.068	2392.93	NA	319	247.5	71.5	NA	NA	0.137625	1:1:1:1:1:1	0.371109(0.474222:0.339981:0.299125)	NA	NA	NA	NA
Cd36_01640,orf19.4544	NG	0.0973482	0.534447	0.182147	4.39941e-15	678	141.279	536.721	NA	103	54	49	NA	NA	0.188429	1:1:1:1:1:1	0.308229(0.412134:0.274059:0.238494)	NA	NA	NA	NA
Cd36_01660,orf19.4542	NG	0.0333578	0.470964	0.0708289	1.98329e-40	1185	250.188	934.812	NA	118	87.5	30.5	NA	NA	0.125749	1:1:1:1:1:1	0.351385(0.442065:0.293451:0.31864)	NA	NA	NA	NA
Cd36_01670,orf19.4540	NG	0.00439651	0.491233	0.00894995	1.54287e-29	570	113.759	456.241	NA	43	41	2	NA	NA	0.101558	1:1:1:1:1:1	0.380702(0.478947:0.305263:0.357895)	NA	NA	NA	NA
Cd36_01680,orf19.4539	NG	0.0369186	0.517365	0.0713589	1.49941e-21	552	121.739	430.261	NA	61	45.5	15.5	NA	NA	0.142877	1:1:1:1:1:1	0.384058(0.494565:0.339674:0.317935)	NA	NA	NA	NA
Cd36_01690,orf19.4538	NG	0.00900133	0.52678	0.0170874	2.43068e-38	720	161.186	558.814	NA	66	61	5	NA	NA	0.124916	1:1:1:1:1:1	0.335145(0.405797:0.298913:0.300725)	NA	NA	NA	NA
Cd36_01700,orf19.4537	NG	0.0214571	0.426324	0.0503305	7.16573e-33	909	199.883	709.117	NA	80	65	15	NA	NA	0.110485	1:1:1:1:1:1	0.372131(0.391803:0.42459:0.3)	NA	NA	NA	NA
Cd36_01710,orf19.4536	NG	0.015464	0.398318	0.0388231	7.09432e-56	1488	344.629	1143.37	NA	124	106.5	17.5	NA	NA	0.104135	1:1:1:1:1:1	0.360551(0.420363:0.38004:0.28125)	NA	NA	NA	NA
Cd36_01720,orf19.4535	NG	0.043525	0.497439	0.0874982	4.36456e-75	2322	512.898	1809.1	NA	263	186.5	76.5	NA	NA	0.143788	1:1:1:1:1:1	0.362569(0.404609:0.370679:0.31242)	NA	NA	NA	NA
Cd36_01730,orf19.4534	NG	0.0762059	0.504928	0.150924	4.746e-37	1527	340.174	1186.83	NA	211	125	86	NA	NA	0.171713	1:1:1:1:1:1	0.376883(0.429273:0.391945:0.30943)	NA	NA	NA	NA
Cd36_01740,orf19.4533	NG	0.0377741	0.518957	0.0727884	3.06106e-55	1509	341.745	1167.25	NA	171	128	43	NA	NA	0.146748	1:1:1:1:1:1	0.355446(0.424752:0.341584:0.3)	NA	NA	NA	NA
Cd36_01750,orf19.4532	NG	0.0178724	0.369003	0.0484342	6.50143e-32	1002	209.298	792.702	NA	75	61	14	NA	NA	0.0912167	1:1:1:1:1:1	0.334275(0.399718:0.329096:0.274011)	NA	NA	NA	NA
Cd36_01760,orf19.4531	NG	0.0275685	0.490937	0.056155	2.00627e-144	3822	848.009	2973.99	NA	386	305.5	80.5	NA	NA	0.130379	1:1:1:1:1:1	0.354003(0.410518:0.352826:0.298666)	NA	NA	NA	NA
Cd36_01790,orf19.4529	NG	0.0421093	0.398264	0.105732	7.64639e-14	504	113.27	390.73	NA	51	35	16	NA	NA	0.122152	1:1:1:1:1:1	0.312745(0.3:0.405882:0.232353)	NA	NA	NA	NA
Cd36_01800,orf19.4528	NG	0.0191028	0.320503	0.0596025	1.63237e-15	543	118.857	424.143	NA	39	31	8	NA	NA	0.0850762	1:1:1:1:1:1	0.314917(0.320442:0.367403:0.256906)	NA	NA	NA	NA
Cd36_01810,orf19.3076	NG	0.0962901	0.868255	0.110901	1.10776e-17	396	97.2124	298.788	NA	77	50	27	NA	NA	0.285797	1:1:1:1:1:1	0.430657(0.49635:0.386861:0.408759)	NA	NA	NA	NA
Cd36_01840,orf19.4527	NG	0.0134811	0.388739	0.034679	1.09372e-59	1635	362.606	1272.39	NA	127	110	17	NA	NA	0.0967049	1:1:1:1:1:1	0.38685(0.417431:0.422018:0.321101)	NA	NA	NA	NA
Cd36_01850,orf19.4526	NG	0.00763628	0.225413	0.0338768	6.74661e-25	1026	236.27	789.73	NA	52	46	6	NA	NA	0.0577866	1:1:1:1:1:1	0.365984(0.457602:0.384503:0.255848)	NA	NA	NA	NA
Cd36_01860,orf19.4525	NG	0.0200534	0.395302	0.0507293	1.96355e-29	849	192.025	656.975	NA	72	59	13	NA	NA	0.104927	1:1:1:1:1:1	0.316866(0.33982:0.302395:0.308383)	NA	NA	NA	NA
Cd36_01870,orf19.4524	NG	0.0188544	0.400749	0.0470479	3.28526e-70	2103	438.067	1664.93	NA	167	136	31	NA	NA	0.0984053	1:1:1:1:1:1	0.317641(0.394437:0.320257:0.238231)	NA	NA	NA	NA
Cd36_01880,orf19.4523	NG	0.0550227	0.582077	0.0945282	7.50951e-23	618	134.205	483.795	NA	80	54.3333	25.6667	NA	NA	0.169478	1:1:1:1:1:1	0.333333(0.442308:0.293269:0.264423)	NA	NA	NA	NA
Cd36_01890,orf19.4522	NG	0.0441304	0.502042	0.0879019	6.5466e-15	423	92.4449	330.555	NA	48	33.8333	14.1667	NA	NA	0.144205	1:1:1:1:1:1	0.327986(0.42246:0.379679:0.181818)	NA	NA	NA	NA
Cd36_01900,orf19.3661	NG	0.0278155	0.46562	0.0597386	3.25355e-85	2457	516.036	1940.96	NA	232	179	53	NA	NA	0.119766	1:1:1:1:1:1	0.336353(0.416063:0.320048:0.272947)	NA	NA	NA	NA
Cd36_01910,orf19.3663	NG	0.015128	0.415425	0.0364157	1.39403e-97	2580	576.853	2003.15	NA	214	184	30	NA	NA	0.104629	1:1:1:1:1:1	0.347834(0.393852:0.37007:0.279582)	NA	NA	NA	NA
Cd36_01930,orf19.3664	NG	0.0434205	0.29271	0.14834	2.66905e-17	987	216.629	770.371	NA	85	52.5	32.5	NA	NA	0.0981352	1:1:1:1:1:1	0.368077(0.432024:0.327795:0.344411)	NA	NA	NA	NA
Cd36_01940,orf19.3665	NG	0.0401521	0.576021	0.0697061	6.33365e-44	1134	238.774	895.226	NA	131	96	35	NA	NA	0.152984	1:1:1:1:1:1	0.332894(0.403694:0.323219:0.271768)	NA	NA	NA	NA
Cd36_01950,orf19.3666	NG	0.0500116	0.536172	0.0932751	7.0524e-49	1485	317.176	1167.82	NA	178	121.5	56.5	NA	NA	0.153849	1:1:1:1:1:1	0.322581(0.393145:0.333669:0.240927)	NA	NA	NA	NA
Cd36_01960,orf19.3667	NG	0.0279243	0.483458	0.0577596	6.71116e-58	1608	331.135	1276.86	NA	153	118	35	NA	NA	0.121732	1:1:1:1:1:1	0.328686(0.378253:0.300186:0.307621)	NA	NA	NA	NA
Cd36_01970,orf19.3668	NG	0.0126831	0.280914	0.0451492	3.77887e-43	1635	362.779	1272.22	NA	101	85	16	NA	NA	0.0721991	1:1:1:1:1:1	0.374924(0.409174:0.422018:0.293578)	NA	NA	NA	NA
Cd36_01990,orf19.3670	NG	0.0254625	0.375439	0.0678207	6.29945e-45	1545	326.711	1218.29	NA	127	96.5	30.5	NA	NA	0.0994697	1:1:1:1:1:1	0.332364(0.410853:0.323643:0.262597)	NA	NA	NA	NA
Cd36_02000,orf19.3672	NG	0.0174983	0.367934	0.0475582	8.46848e-65	2025	435.013	1589.99	NA	154	126.5	27.5	NA	NA	0.0927793	1:1:1:1:1:1	0.346667(0.444444:0.340741:0.254815)	NA	NA	NA	NA
Cd36_02010,orf19.3673	NG	0.0228998	0.36067	0.0634924	1.08564e-16	504	112.343	391.657	NA	41	32.1667	8.83333	NA	NA	0.0981893	1:1:1:1:1:1	0.345029(0.406433:0.336257:0.292398)	NA	NA	NA	NA
Cd36_02020,orf19.3674	NG	0.0452721	0.525118	0.0862133	8.48622e-34	957	209.647	747.353	NA	112	79.1667	32.8333	NA	NA	0.15039	1:1:1:1:1:1	0.330729(0.404687:0.301563:0.285938)	NA	NA	NA	NA
Cd36_02030,orf19.3675	NG	0.0198082	0.396092	0.0500089	5.62462e-38	1158	237.231	920.769	NA	91	73	18	NA	NA	0.0968948	1:1:1:1:1:1	0.316926(0.439119:0.332902:0.178756)	NA	NA	NA	NA
Cd36_02040,orf19.3676	NG	0.0230908	0.279842	0.0825139	7.71117e-20	936	188.385	747.615	NA	61	44	17	NA	NA	0.074766	1:1:1:1:1:1	0.296474(0.439103:0.299679:0.150641)	NA	NA	NA	NA
Cd36_02050,orf19.3677	NG	0.0547775	0.322796	0.169697	7.87261e-14	819	175.364	643.636	NA	80	46	34	NA	NA	0.112166	1:1:1:1:1:1	0.306355(0.383094:0.271583:0.264388)	NA	NA	NA	NA
Cd36_02060,orf19.3678	NG	0.148324	0.50503	0.293693	1.84005e-21	1629	363.935	1265.07	NA	304	133.75	170.25	NA	NA	0.228015	1:1:1:1:1:1	0.32363(0.393836:0.379281:0.197774)	NA	NA	NA	NA
Cd36_02070,orf19.3679	NG	0.0326264	0.31968	0.10206	1.12123e-17	768	172.891	595.109	NA	64	45	19	NA	NA	0.0972473	1:1:1:1:1:1	0.275794(0.392857:0.327381:0.107143)	NA	NA	NA	NA
Cd36_02090,orf19.3681	NG	0.0128121	0.273889	0.0467786	6.58729e-66	2622	575.292	2046.71	NA	158	132	26	NA	NA	0.0700948	1:1:1:1:1:1	0.327619(0.474286:0.361143:0.147429)	NA	NA	NA	NA
Cd36_02100,orf19.3682	NG	0.0522518	0.310859	0.168088	5.62065e-12	708	153.25	554.75	NA	67	39	28	NA	NA	0.108228	1:1:1:1:1:1	0.260028(0.360996:0.317427:0.10166)	NA	NA	NA	NA
Cd36_02110,orf19.3683	NG	0.0432008	0.190911	0.226287	2.80179e-10	1083	225.452	857.548	NA	74	38	36	NA	NA	0.0739503	1:1:1:1:1:1	0.292746(0.410622:0.367876:0.0997409)	NA	NA	NA	NA
Cd36_02120,orf19.3684	NG	0.115327	0.365548	0.31549	9.67265e-10	876	210.254	665.746	NA	132	60.8333	71.1667	NA	NA	0.175384	1:1:1:1:1:1	0.341324(0.503425:0.400685:0.119863)	NA	NA	NA	NA
Cd36_02130,orf19.3685	NG	0.121744	0.411262	0.296026	3.12886e-29	2832	571.748	2260.25	NA	435	181	254	NA	NA	0.180195	1:1:1:1:1:1	0.243602(0.354127:0.25:0.126679)	NA	NA	NA	NA
Cd36_02140,orf19.3686	NG	0.124765	0.296117	0.421336	2.54554e-06	1047	213.229	833.771	NA	148	52.1667	95.8333	NA	NA	0.159662	1:1:1:1:1:1	0.232114(0.315854:0.280488:0.1)	NA	NA	NA	NA
Cd36_02150,orf19.3687	NG	0.144294	0.306865	0.470218	0.0230835	357	67.5029	289.497	NA	55	17	38	NA	NA	0.175033	1:1:1:1:1:1	0.200249(0.320896:0.201493:0.0783582)	NA	NA	NA	NA
Cd36_02160,orf19.3688	NG	0.118399	0.302871	0.390922	0.00524028	333	68.2235	264.776	NA	46	17	29	NA	NA	0.156193	1:1:1:1:1:1	0.262438(0.44403:0.276119:0.0671642)	NA	NA	NA	NA
Cd36_02190,orf19.3691	NG	0.114498	0.33981	0.336947	1.64611e-07	768	176.274	591.726	NA	111	48.1667	62.8333	NA	NA	0.166212	1:1:1:1:1:1	0.280167(0.388889:0.360215:0.0913978)	NA	NA	NA	NA
Cd36_02200,orf19.3693	NG	0.0908936	0.351562	0.258542	3.80989e-22	1893	399.651	1493.35	NA	240	112.167	127.833	NA	NA	0.145926	1:1:1:1:1:1	0.28061(0.394303:0.354573:0.0929535)	NA	NA	NA	NA
Cd36_02210,orf19.3694	NG	0.148946	0.417431	0.356815	5.71289e-28	3399	712.486	2686.51	NA	591	228.083	362.917	NA	NA	0.205225	1:1:1:1:1:1	0.244088(0.302059:0.308543:0.121663)	NA	NA	NA	NA
Cd36_02220,orf19.2925	NG	0.0604197	0.32186	0.187721	2.80588e-09	552	112.724	439.276	NA	55	29.5	25.5	NA	NA	0.113808	1:1:1:1:1:1	0.231848(0.306931:0.24505:0.143564)	NA	NA	NA	NA
Cd36_02230,orf19.2926	NG	0.191872	0.407555	0.470788	7.97911e-12	2340	474.411	1865.59	NA	465	149.167	315.833	NA	NA	0.235599	1:1:1:1:1:1	0.256593(0.310989:0.3:0.158791)	NA	NA	NA	NA
Cd36_02240,orf19.2927	NG	0.059255	0.2624	0.225819	5.58689e-15	1323	271.362	1051.64	NA	120	60.0833	59.9167	NA	NA	0.100922	1:1:1:1:1:1	0.243504(0.331849:0.311804:0.0868597)	NA	NA	NA	NA
Cd36_02250,orf19.2928	NG	0.0490194	0.216353	0.226572	2.58553e-11	1056	234.113	821.887	NA	83	44	39	NA	NA	0.0861169	1:1:1:1:1:1	0.271881(0.354749:0.336592:0.124302)	NA	NA	NA	NA
Cd36_02270,orf19.2929	NG	0.00540016	0.234687	0.0230101	8.63754e-143	5691	1230.67	4460.33	NA	272	248	24	NA	NA	0.054983	1:1:1:1:1:1	0.351344(0.413021:0.38271:0.258303)	NA	NA	NA	NA
Cd36_02290,orf19.2930	NG	0.0153311	0.265417	0.0577623	2.99351e-45	1899	432.817	1466.18	NA	119	96.75	22.25	NA	NA	0.0723303	1:1:1:1:1:1	0.336901(0.445719:0.44419:0.120795)	NA	NA	NA	NA
Cd36_02300,orf19.2933	NG	0.036553	0.437568	0.0835366	2.71544e-30	999	214.17	784.83	NA	99	71	28	NA	NA	0.122525	1:1:1:1:1:1	0.310945(0.423881:0.323881:0.185075)	NA	NA	NA	NA
Cd36_02310,orf19.2934	NG	0.0421118	0.224093	0.187921	7.25177e-07	528	100.664	427.336	NA	37	19.5	17.5	NA	NA	0.0768068	1:1:1:1:1:1	0.26742(0.451977:0.262712:0.0875706)	NA	NA	NA	NA
Cd36_02320,orf19.2935	NG	0.00194507	0.177915	0.0109326	3.42996e-15	660	145.214	514.786	NA	24	23	1	NA	NA	0.0406623	1:1:1:1:1:1	0.375758(0.411364:0.413636:0.302273)	NA	NA	NA	NA
Cd36_02330,orf19.2936	NG	0.0752683	0.21114	0.356485	0.00312748	450	86.9456	363.054	NA	42	16	26	NA	NA	0.10152	1:1:1:1:1:1	0.286822(0.380814:0.311047:0.168605)	NA	NA	NA	NA
Cd36_02340,orf19.2937	NG	0.0142883	0.160844	0.0888334	6.85538e-11	756	155.423	600.577	NA	31	22.5	8.5	NA	NA	0.0444181	1:1:1:1:1:1	0.270503(0.414683:0.30754:0.0892857)	NA	NA	NA	NA
Cd36_02350,orf19.2938	NG	0.0881567	0.383401	0.229933	2.90843e-27	1968	406.993	1561.01	NA	252	122.167	129.833	NA	NA	0.149215	1:1:1:1:1:1	0.256672(0.358806:0.279476:0.131732)	NA	NA	NA	NA
Cd36_02360,orf19.2939	NG	0.0123711	0.183756	0.0673238	6.42423e-11	624	134.989	489.011	NA	28	22	6	NA	NA	0.0494465	1:1:1:1:1:1	0.286058(0.367788:0.336538:0.153846)	NA	NA	NA	NA
Cd36_02370,orf19.2940	NG	0.0269758	0.26486	0.101849	8.82693e-14	714	147.886	566.114	NA	48	33	15	NA	NA	0.0762473	1:1:1:1:1:1	0.289973(0.382114:0.317073:0.170732)	NA	NA	NA	NA
Cd36_02380,orf19.2941	NG	0.0473839	0.384803	0.123138	2.34368e-41	1695	431.881	1263.12	NA	188	130	58	NA	NA	0.133357	1:1:1:1:1:1	0.427314(0.524702:0.553663:0.203578)	NA	NA	NA	NA
Cd36_02400,orf19.2945	NG	0.0176749	0.464667	0.0380379	3.17798e-69	1692	375.33	1316.67	NA	153	130	23	NA	NA	0.116829	1:1:1:1:1:1	0.329492(0.380319:0.375:0.233156)	NA	NA	NA	NA
Cd36_02410,orf19.2947	NG	0.00886842	0.297538	0.029806	2.95001e-27	876	195.434	680.566	NA	54	48	6	NA	NA	0.0732702	1:1:1:1:1:1	0.368151(0.494863:0.375:0.234589)	NA	NA	NA	NA
Cd36_02420,orf19.2948	NG	0.0602768	0.396687	0.151951	1.18735e-16	747	162.843	584.157	NA	84	50.1667	33.8333	NA	NA	0.133613	1:1:1:1:1:1	0.365462(0.455823:0.327309:0.313253)	NA	NA	NA	NA
Cd36_02430,orf19.2949	NG	0.0280836	0.53487	0.0525056	1.94826e-176	4371	942.656	3428.34	NA	455	360.5	94.5	NA	NA	0.137378	1:1:1:1:1:1	0.365267(0.418077:0.359851:0.317874)	NA	NA	NA	NA
Cd36_02440,orf19.2951	NG	0.0189191	0.314254	0.0602033	3.12211e-30	1077	247.347	829.653	NA	79	63.5	15.5	NA	NA	0.0867466	1:1:1:1:1:1	0.352368(0.449861:0.370474:0.236769)	NA	NA	NA	NA
Cd36_02450,orf19.2952	NG	0.024489	0.439774	0.0556855	9.1197e-50	1434	299.533	1134.47	NA	127	99.6667	27.3333	NA	NA	0.111233	1:1:1:1:1:1	0.369172(0.419624:0.35595:0.331942)	NA	NA	NA	NA
Cd36_02460,orf19.2953	NG	0.007556	0.247209	0.0305653	4.33042e-14	513	113.961	399.039	NA	27	24	3	NA	NA	0.0607941	1:1:1:1:1:1	0.364522(0.494152:0.342105:0.25731)	NA	NA	NA	NA
Cd36_02480,orf19.2956	NG	0.0342594	0.602558	0.0568566	7.72074e-37	813	185.923	627.077	NA	98	77	21	NA	NA	0.164222	1:1:1:1:1:1	0.385266(0.402174:0.463768:0.289855)	NA	NA	NA	NA
Cd36_02490,orf19.2957	NG	0.0483175	0.637453	0.0757977	7.808e-94	2424	500.677	1923.32	NA	305	215	90	NA	NA	0.170003	1:1:1:1:1:1	0.346535(0.4375:0.29146:0.310644)	NA	NA	NA	NA
Cd36_02500,orf19.2958	NG	0.120387	0.501447	0.240079	1.78637e-39	2526	546.471	1979.53	NA	420	199.833	220.167	NA	NA	0.202825	1:1:1:1:1:1	0.353104(0.440095:0.320285:0.298932)	NA	NA	NA	NA
Cd36_02510,orf19.2960	NG	0.00685681	0.400297	0.0171293	1.05269e-61	1488	315.936	1172.06	NA	106	98	8	NA	NA	0.090393	1:1:1:1:1:1	0.347782(0.448589:0.325605:0.269153)	NA	NA	NA	NA
Cd36_02520,orf19.2961	NG	0.0823076	0.409456	0.201017	1.50989e-19	1179	236.112	942.888	NA	148	74.5	73.5	NA	NA	0.147824	1:1:1:1:1:1	0.326196(0.449622:0.306045:0.222922)	NA	NA	NA	NA
Cd36_02530,orf19.2962	NG	0.133991	0.474399	0.282444	4.44041e-12	867	190.576	676.424	NA	150	67	83	NA	NA	0.208816	1:1:1:1:1:1	0.329966(0.326599:0.382155:0.281145)	NA	NA	NA	NA
Cd36_02540,orf19.2963	NG	0.0305585	0.495269	0.0617007	4.01377e-35	918	200	718	NA	94	72.5	21.5	NA	NA	0.131802	1:1:1:1:1:1	0.348584(0.436275:0.361111:0.248366)	NA	NA	NA	NA
Cd36_02550,orf19.2964	NG	0.0152507	0.480212	0.0317583	2.36256e-103	2382	527.292	1854.71	NA	215	187	28	NA	NA	0.118177	1:1:1:1:1:1	0.37631(0.455975:0.37673:0.296226)	NA	NA	NA	NA
Cd36_02560,orf19.2965	NG	0.00719792	0.385273	0.0186827	3.36095e-41	1050	212.42	837.58	NA	70	64	6	NA	NA	0.0836842	1:1:1:1:1:1	0.374286(0.445714:0.302857:0.374286)	NA	NA	NA	NA
Cd36_02580,orf19.2966	NG	0.00675366	0.502714	0.0134344	3.88697e-39	756	161.058	594.942	NA	63	59	4	NA	NA	0.112413	1:1:1:1:1:1	0.366171(0.446097:0.33829:0.314126)	NA	NA	NA	NA
Cd36_02590,orf19.2967	NG	0.00869715	0.29717	0.0292665	7.28391e-33	1050	240.463	809.537	NA	66	59	7	NA	NA	0.0747612	1:1:1:1:1:1	0.399524(0.508571:0.414286:0.275714)	NA	NA	NA	NA
Cd36_02600,orf19.2968	NG	0.247663	1.05762	0.23417	6.48382e-13	579	112.008	466.992	NA	162	63.5	98.5	NA	NA	0.404351	1:1:1:1:1:1	0.334167(0.3925:0.2625:0.3475)	NA	NA	NA	NA
Cd36_02610,orf19.2969	NG	0.0268229	0.613036	0.0437542	1.21039e-118	2538	532.859	2005.14	NA	276	223.167	52.8333	NA	NA	0.1499	1:1:1:1:1:1	0.386737(0.43838:0.358568:0.363263)	NA	NA	NA	NA
Cd36_02620,orf19.2970	NG	0.0162204	0.494593	0.0327955	9.04653e-186	4212	940.216	3271.78	NA	393	340.5	52.5	NA	NA	0.123004	1:1:1:1:1:1	0.374525(0.461182:0.373219:0.289174)	NA	NA	NA	NA
